epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,541.882,1.00278,0.60514,0.8521,0.97975,1,0.995,0.63752,1.1785,0.5625,0.88179,0.000116483,0.000116483,0.000116483
164,544.781,0.99807,0.6003,0.84942,0.98336,0.99777,0.995,0.6323,1.16725,0.56375,0.8803,0.000113572,0.000113572,0.000113572
165,549.535,0.98564,0.58874,0.85845,0.98576,0.9975,0.995,0.6395,1.16891,0.56144,0.88035,0.000110662,0.000110662,0.000110662
166,552.683,0.99367,0.58914,0.85718,0.98665,1,0.995,0.64319,1.1663,0.56003,0.8774,0.000107751,0.000107751,0.000107751
167,555.356,0.99313,0.59188,0.84911,0.98279,0.99962,0.995,0.64413,1.16757,0.56033,0.8767,0.00010484,0.00010484,0.00010484
168,557.889,0.99936,0.58787,0.85212,0.98271,0.99961,0.995,0.63862,1.19163,0.55956,0.88185,0.00010193,0.00010193,0.00010193
169,560.58,1.01921,0.62561,0.86537,0.98509,0.99944,0.995,0.63974,1.20564,0.55984,0.8861,9.90192e-05,9.90192e-05,9.90192e-05
170,564.756,0.9804,0.60108,0.8554,0.98317,0.99983,0.995,0.63975,1.18786,0.55379,0.88384,9.61086e-05,9.61086e-05,9.61086e-05
171,568.801,1.00214,0.59999,0.84404,0.98036,0.99523,0.995,0.63525,1.17431,0.55791,0.88114,9.3198e-05,9.3198e-05,9.3198e-05
172,571.55,0.94662,0.56747,0.84569,0.9748,0.99744,0.995,0.63581,1.18106,0.56791,0.88338,9.02874e-05,9.02874e-05,9.02874e-05
173,573.969,1.0059,0.59436,0.85525,0.97752,0.99582,0.995,0.6327,1.18434,0.56574,0.88425,8.73768e-05,8.73768e-05,8.73768e-05
174,576.605,1.01014,0.5999,0.84539,0.9833,0.99493,0.995,0.63625,1.19391,0.56793,0.88627,8.44662e-05,8.44662e-05,8.44662e-05
175,579.381,0.97966,0.59575,0.8433,0.98424,0.99448,0.995,0.63753,1.19439,0.56281,0.8854,8.15556e-05,8.15556e-05,8.15556e-05
176,583.823,0.99882,0.59818,0.85317,0.98499,0.99411,0.995,0.64001,1.17917,0.56201,0.88035,7.8645e-05,7.8645e-05,7.8645e-05
177,588.597,0.95934,0.59024,0.85011,0.98534,0.99364,0.995,0.63805,1.17207,0.56021,0.87952,7.57344e-05,7.57344e-05,7.57344e-05
178,593.185,1.00202,0.61035,0.85093,0.98696,0.99306,0.995,0.63348,1.18396,0.56347,0.88118,7.28238e-05,7.28238e-05,7.28238e-05
179,595.797,0.99289,0.59009,0.84962,0.98624,0.99256,0.995,0.63089,1.20568,0.56571,0.88468,6.99132e-05,6.99132e-05,6.99132e-05
180,598.527,0.96664,0.58699,0.85145,0.98484,0.9933,0.995,0.63341,1.18674,0.55613,0.88292,6.70026e-05,6.70026e-05,6.70026e-05
181,602.446,0.97148,0.57784,0.85391,0.98369,0.99405,0.995,0.63685,1.17229,0.55087,0.88107,6.4092e-05,6.4092e-05,6.4092e-05
182,606.821,0.94857,0.58764,0.8464,0.98069,0.99518,0.995,0.644,1.1578,0.54891,0.87875,6.11814e-05,6.11814e-05,6.11814e-05
